============================================================
Distillation Sweep: code
Configs: A_fast, B_medium, C_gentle, D_long
============================================================
  Launching A_fast: /usr/bin/python3.13 train_code.py A_fast
  Launching B_medium: /usr/bin/python3.13 train_code.py B_medium
  Launching C_gentle: /usr/bin/python3.13 train_code.py C_gentle
  Launching D_long: /usr/bin/python3.13 train_code.py D_long

Monitoring 4 configs...
  [03:57:46] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:58:16] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:58:46] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:59:16] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [03:59:46] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [04:00:16] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [04:00:46] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [04:01:16] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [04:01:46] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [04:02:16] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [04:02:46] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [04:03:16] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [04:03:46] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [04:04:17] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [04:04:47] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [04:05:17] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [04:05:47] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [04:06:17] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [04:06:47] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [04:07:17] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [04:07:47] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [04:08:17] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [04:08:47] A_fast: done (rc=0) | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
